topic,speech_id,party,speaker_party,sentiment,speech_date,prob,speech
0,ParlaMint-UA_2017-02-08-m0.u88,фБПП.фЄС.фУДАР,фБПП,0.703125,2017-02-08,0.007853678427636623,"Шановні колеги, Комітет з питань охорони здоров'я ініціює проведення в березні поточного року парламентських слухань на тему: ""Медична освіта в Україні: погляд у майбутнє"". Хочу зазначити, що зміни і реформи у системі охорони здоров'я, надання медичної допомоги європейської якості неможливе без зміни парадигми освіти. Наша освіта має стати конкурентоспроможною, має стати зрозумілою європейській спільноті, наші лікарі мають вчитися, як надавати допомогу за європейськими стандартами. Саме тому ми ініціюємо проведення разом з Міністерством освіти парламентських слухань, які дозволять на виході нам і створити Закон про університетські клініки, дати певну незалежність нашим закладам медичної освіти і створити систему контролю, а головне – їх наблизити до європейської якості. І після реформи системи медичної освіти, власне, лише через 10 років, ми зможемо отримати лікарів, які будуть мати зовсім інші знання і зможуть працювати в реальних європейських стандартах. Хочу зазначити, що в постанові пропонується розглянути дату 1 березня. Однак, у зв’язку з тим, що згідно з календарним планом роботи шостої сесії 1 березня випадає у тиждень, відведений для роботи в округах, прошу під стенограму змінити дату проведення парламентських слухань на 22-ге чи 15 березня 2017 року. Прошу вас підтримати та прийняти проект Постанови № 5600 з озвученою поправкою за основу і в цілому. Дякую."
0,ParlaMint-UA_2020-07-03-m1.u136,фБПП.фЄС.фУДАР,фЄС,0.697265625,2020-07-03,0.0998549684882164,"Прийняття проекту дозволить забезпечити покращення освітнього процесу у сфері охорони здоров'я шляхом реалізації права на надання медичної допомоги науково-педагогічними працівниками закладів вищої освіти, які відповідають кваліфікаційним характеристикам, та реалізації права на участь у наданні медичної допомоги лікарями-інтернами. Цей законопроект є надзвичайно важливим і потребує невідкладного прийняття у зв'язку з епідемією коронавірусу та великою кількістю хворих серед медичного персоналу. Ми будемо підтримувати цей законопроект за основу і в цілому."
0,ParlaMint-UA_2021-10-19-m0.u538,фБПП.фЄС.фУДАР,фЄС,0.66064453125,2021-10-19,0.012613793835043907,"Шановний пане Голово, шановна президія, шановні колеги, цей законопроект є дуже важливий. Він важливий тим, що він сьогодні для місцевості, особливо сільського типу, для збільшення якісного інтернету, дозволяє прискорити і якість, і можливість навіть у школах, інших закладах проводити важливу технологічну нову сучасну комунікацію. Друге, якісний інтернет дозволяє на сьогодні і спростити процедуру як спілкування в школах, медичних закладах та інших. В даному законопроекті є ряд численних запобіжників та обмежень, які важливі для місцевих громад. І третє, зміна цільового призначення так само тягне за собою відповідну процедуру. ""Європейська солідарність"" буде підтримувати даний законопроект. Дякую."
0,ParlaMint-UA_2020-04-24-m0.u14,фБПП.фЄС.фУДАР,фЄС,-0.95654296875,2020-04-24,0.004583538509905338,"Шановні українці, ви бачите країну зруйнованих інституцій: уряд без ключових міністрів, парламент без політиків і депутатів, але з зеленими кнопочками. Цим людям просто непотрібен Регламент, тому вони його і знищують законом, який забороняє депутату подавати поправки. Закони 16 квітня нічим не відрізняються від диктаторських законів 16 січня. Зверніть увагу: сьогодні чергове позачергове засідання парламенту, сформоване Президентом, а не самим парламентом. В порядку денному – жодного законопроекту самого Президента, а йдуть законопроекти депутатів. Про що ці законопроекти? Жодного про підтримку лікаря, жодного про підтримку економіки, жодного про підтримку освітян, жодного про підтримку країни. Немає банківського закону, який має врятувати Україну від дефолту. Це імітація бурхливої діяльності, до якої немає жодного відношення навіть монобільшість, бо вона не має права ні на що. Вона навіть про майбутніх міністрів, за яких вона візьме відповідальність, дізнається з Інтернету. Ось у що перетворено цей парламент. Наша фракція зареєструвала законопроект про страхування, обов’язкове страхування медиків. Тому що сьогодні люди, які працюють з хворими на COVID, отримують 4 тисячі гривень, не доларів, зарплати. Ні про які 300 тисяч надбавки. відсотків поки що не йдеться, все перекладено на місцеві органи влади. Ми не отримали ці підписні листи, їх блокує керівництво Верховної Ради, тому що треба насправді тільки імітувати бурхливу діяльність, а не працювати для захисту країни. Наша фракція сьогодні не буде голосувати за жоден, окрім ТСК, законопроект, щоб не підігрувати цій ганьбі."
0,ParlaMint-UA_2016-01-26-m1.u38,фБПП.фЄС.фУДАР,фБПП,-0.98583984375,2016-01-26,0.07081104069948196,"Дорогие друзья! Вот тот, кто хочет оставить рабство, тот, кто хочет оставить рабство, тот сейчас голосует против. Подумайте, может врач под этим распределением, когда его заставляют насильно ехать туда, либо за откат в 300 долларов, он подписывает и уезжает оттуда? Что вы делаете? Вы боретесь против коррупции? Так боритесь против коррупции, будьте любезны, дайте возможность людям трудоустраиваться так, как они хотят. Они вам отрабатывают через налоги, они едут и работают. Нельзя! Украина, европейское государство, вы оставляете ту норму, которая позволяет закрепить рабство, которое пришло с советской власти. Мы посмотрим, кто хочет оставить рабство для студентов Украины. Пусть каждый студент посмотрит на этих депутатов."
0,ParlaMint-UA_2017-10-17-m1.u37,фБПП.фЄС.фУДАР,фБПП,-1.0,2017-10-17,0.12387792766094208,"Шановні колеги, я прошу поставити на підтвердження чотири правки: 22-у, 23-ю, 24-у і 26-у. Справа в тому, що до другого читання, на жаль, проект закону не став кращим. В другому читанні він виходить з ілюзій того, що в бюджеті немірна кількість грошей, і завтра ті гроші рікою поллються в медицину. Звідки вони мають взятись? Бюджет, звичайно, не повинен зменшувати фінансування, але жити ілюзіями, що завтра там з'явиться величезна кількість грошей в бюджеті, який має багатомільярдну дірку, це несерйозно. А цим самим, не забезпечуючи повну оплату послуг, ми підриваємо саму ідею реформи. Хто буде виконувати послуг, якщо не забезпечена повна її оплата? Тому прошу поставити всі чотири правки на підтвердження."
0,ParlaMint-UA_2016-10-05-m0.u44,фОПЗЖ.фОпоблок.фПР,фОпоблок,0.61083984375,2016-10-05,0.027639957144856453,"Ігор Шурма, ""Опозиційний блок"". Фракція ""Опозиційного блоку"" буде підтримувати і голосувати ""за"" за цей законопроект. Чому? Ми завжди будемо підтримувати ті ініціативи, які приносять користь як державі, так і людям. Людям, які працюють в закладах і людям, які лікуються. Голосуємо ""за"", тому що держава гарантує цільове фінансування надання психіатричної допомоги згідно затвердженими клінічними протоколами. Ми голосуємо ""за"" тому, що питання вирішується примусових заходів. Ми голосуємо ""за"" через те, що робота медичних працівників, яка є дуже складною, стаж роботи зараховується рік за два. Але я як один з авторів цього законопроекту мушу сказати і про те, що цей законопроект можна голосувати виключно в першому читанні. Чому? Гарантоване фінансування згідно протоколів. А воно є передбачене у нас в бюджеті 2017 року? Міністерство охорони здоров'я хоч що-небудь зробило для того, щоб в перспективі закон працював, тобто виділити на це гроші? А самі протоколи клінічних досліджень є? Немає. Позиція міністерства є невідома. Ми голосуємо на сьогоднішній день із застереженням через те, що виключення окремих положень із Закону про порядок проведення огляду без усвідомленної згоди може нести ризики для пацієнтів, тому це треба доопрацьовувати у другому читані. І ще одне. Було б дуже добре, якби ініціаторами були не тільки народні депутати, але і Міністерство охорони здоров'я. А чим воно займається на сьогоднішній день? Прикро читати, що, не маючи концепції розвитку, Міністерство охорони здоров'я ставить на обговорення проект наказу – вдумайтесь, який – про встановлення медико-біологічних та соціально-психологічних показань для зміни статевої належності та форми документації. До тих пір, поки міністерство не розробить концепції, воно буде займатися всякою єрундою, в тому числі і зміною статевої належності. Дякую."
0,ParlaMint-UA_2020-05-07-m0.u24,фОПЗЖ.фОпоблок.фПР,фОПЗЖ,0.60498046875,2020-05-07,0.033811427652835846,"Дякую, шановний Василь Іванович. Шановні народні депутати! Я хочу звернутися насамперед до вас і до наших виборців і сказати про те, що ""Опозиційна платформа – За життя"" якраз усім складом виступила за проведення цієї позачергової сесії, підписала відповідні документи для того, щоб підтримати нашу систему охорони здоров'я. Безумовно, наша фракція підтримує проект Закону 3380, який якраз передбачає виплату грошової допомоги в розмірі 100 відсотків середньої заробітної плати незалежно від трудового стажу. Але коли ми говоримо і дивимося на назву проекту Закону щодо підвищення спроможності системи охорони здоров'я, то я хотів би сказати, що та медична реформа, яка була ініційована пані Супрун і яка має місце, продовження її, і сьогодні, вона навпаки вбиває систему охорони здоров'я. Якщо ми говоримо про конкретні дані, то я хочу привести наступне. Що кількість медичних закладів в порівнянні з 2013 роком скоротилася з 2,2 тисячі до 1700. Після другого етапу медичної реформи ми можемо втратити ще тисячу таких закладів. Якщо ми говоримо про медичні кадри, то в 2013 році, до медичної реформи, чи за підсумками 2013 року ми мали 217 тисяч лікарів і працівників медичної сфери, на сьогоднішній день – лише 186 тисяч. Тому, якщо ми хочемо підвищувати спроможність системи охорони здоров'я, ми маємо якраз звертати увагу на соціальні аспекти. А те, що стосується страхової медицини, то я рекомендую профільному комітету звернути увагу на досвід Казахстану, де в системі страхової медицини якраз роботодавець багато в чому визначає і забезпечує медичне забезпечення простих працівників. Повторюсь, наша фракція підтримує даний проект закону. Дякую."
0,ParlaMint-UA_2018-11-22-m0.u166,фОПЗЖ.фОпоблок.фПР,фОпоблок,0.46923828125,2018-11-22,0.09138556569814682,"Ігор Шурма, ""Опозиційний блок"". Шановні колеги, даний законопроект пропонує реалізацію чинних положень Закону про державні гарантії медичного обслуговування населення в частині фінансування державних гарантій медичного обслуговування населення та оплати медичних працівників віддати на розсуд уряду. І виходячи з наявних фінансових ресурсів, ми можемо говорити, що 5 відсотків, які гарантують розвиток охорони здоров'я, впровадження так званої медичної реформи, розгляд якої сьогодні знаходиться в Конституційному Суді, ставиться під знак оклику. Весь комітет, всі члени комітету сьогодні пропонують підтримати цю норму, - виключити підпункт 4 пункту 25 і дати можливість охороні здоров'я розвиватись. Хотів би нагадати, що в даному бюджеті замість спланованих 5 відсотків внутрішнього валового продукту, що є 195 мільярдів, планується виділити лише 90 мільярдів. Це означає, що будуть повністю провалені всі зміни в охороні здоров'я. Галузь ставимо на виживання. Прошу підтримати мою поправку. Дякую."
0,ParlaMint-UA_2021-11-18-m0.u113,фОПЗЖ.фОпоблок.фПР,фОПЗЖ,-0.98388671875,2021-11-18,0.0418667308986187,"Шановні колеги, ну, це якесь диво, що в нас вперше за часи оцієї осінньої пандемії в парламенті почали розглядати законопроекти, як підтримати лікарів сьогодні, як спростити процедуру роботи місцевої влади та як дати підтримку людям. Але ж, шановні, ну, ви же дуже добре розумієте, що якщо даже буде скорочена процедура щодо закупівлі кисню, що це не вирішить сьогодні проблему, яка охопила країну, тому що сьогодні є заборгованість перед лікарями. Нсплата НСЗУ більше ніж 300 мільйонів гривень – це борги перед лікарями по заробітній платі. Сьогодні не сплачені пакети, не підписані нові договори на відкриття нових ковід-відділень. Шановні, ну, я прошу прокиньтесь, треба рятувати сьогодні людей і країну, а не імітувати цю таку бурхливу діяльність. Дякую."
