topic,speech_id,party,sentiment,speech_date,prob,speech
0,ParlaMint-GB_2017-11-20-commons.u36,CON,1.0,2017-11-20,0.2750663459300995,"I am aware of the issue with dairy farmers, as well as the other needs of industry for migrant workers. Rest assured that, when we decide on the right immigration policy after we leave the European Union, we will make sure it continues to support our economy."
0,ParlaMint-GB_2016-07-07-commons.u57,CON,1.0,2016-07-07,0.5340573191642761,"I thank my hon. Friend for a very enjoyable visit to Gloucester Services. I am delighted that its chief executive, Sarah Dunning, has agreed to be one of our food pioneers, promoting Great British food around Britain and around the world. I look forward to talking to my hon. Friend about how we can protect these great products when they are not just a matter for the European Union, but are more widely known around the world."
0,ParlaMint-GB_2016-06-28-commons.u4,CON,1.0,2016-06-28,0.37278762459754944,"The UK is the world’s largest offshore wind market today, and it will still be the largest by the end of the decade, with 10 GW expected to be installed. Despite the decision to leave the European Union, I am confident that we can still co-operate on science and research, as many countries outside the European Union do with their EU counterparts. I believe that that will ensure that this sector remains very strong."
0,ParlaMint-GB_2022-03-03-commons.u38,CON,-0.9970703125,2022-03-03,0.44099220633506775,"Environmental regulations and restrictions, on pesticides for example, are there for good reason, but they cost our farmers money either in sourcing alternatives or in lower yields. The farmers I speak to are very concerned about the use of chemicals, such as Paraquat in Australia and neonicotinoids in large parts of the European Union, that they are not allowed to use here. Their costs are therefore higher. Will these matters be addressed in the trade deals so that we get a fair and level playing field?"
0,ParlaMint-GB_2020-10-23-commons.u44,CON,-0.9990234375,2020-10-23,0.1554432511329651,"The right hon. Gentleman is right. Unfortunately these gangs—because that is what they are—of criminals set up almost a sting operation. There is a dog there, obviously not the mother, and they have imported the puppies or brought them in in vans, very often under seats and all sorts of things, in very bad conditions. They could be suffering from quite a lot of disease and people do not realise that they are buying a smuggled puppy. Of course, a lot of the breeds are very expensive. We are talking about big money. Unfortunately, there is a lot of money to be made in smuggling in puppies and selling them illegally, and that is why it is something we need to take very seriously As I said, a ban on commercial third-party sales is now in force. Again, we have to ensure that that actually works. I question whether we need to be able to bring in five puppies legally from the European Union or anywhere else in the world. I do not think we need five puppies for domestic use. Very few people buy five puppies to keep themselves; if they wanted to do that, they could have a special licence for it. Let us reduce the limit to two. I think two puppies would be fine, but five is unnecessary; again, it is a legal loophole The Committee also recommended that animal welfare should be included in citizenship classes in schools and that DEFRA should continue to work alongside animal welfare charities to create public awareness of the Animal Welfare Act 2006."
0,ParlaMint-GB_2019-03-28-commons.u65,CON,-1.0,2019-03-28,0.1591021567583084,"Yes, five-year sentencing for animal cruelty must be brought in as soon as possible, but my question is about puppies being smuggled in from abroad. Under EU legislation, five puppies can be brought in legally. Very often, fraudulent veterinary certificates are issued, puppies come in very young and with no socialisation, and it is criminal gangs that profit. When we leave the European Union, can we cut the number of puppies that can come in legally from five to two?"
0,ParlaMint-GB_2020-07-09-commons.u369,LAB,1.0,2020-07-09,0.005281734745949507,"I was hugely disappointed to hear that the Department for International Development is to merge with the Foreign and Commonwealth Office. It is an internationally recognised development agency, with serious, heavyweight power and a committed and expert team. There is no doubt that DFID has led the world in its commitments to reducing poverty, saving lives and transforming countries around the world. It is consistently the best-performing Department, delivering real value for British taxpayers Not only does the Department provide humanitarian support, but it ensures access to clean water and sanitation; responds to global health threats by contributing to disease surveillance—something we must certainly appreciate, given our current situation; and fosters strong governance across the globe, tackling corruption and supporting peace efforts worldwide In addition, aid is paramount in tackling climate change in some of the world’s poorest countries, from small-scale renewable energy projects in Uganda to conservation in Latin America. Climate justice comes as a priority and must certainly be recognised. I worry that this merger will water down some of those rights and will detract from the use of our aid budget I am deeply concerned by the calls from some Members on the Government side for us to scrap the 0.7% commitment, and very pleased to hear from those taking part in this debate that there is that commitment still. I am very pleased to hear so many Members state that. The UK provides an enormous amount of aid for this money and, for the reasons I have just highlighted, gives a lot of bang for its buck I want to talk about fair trade as well, because it is hugely important and it has made such a huge difference, especially to women in developing countries. That is why I listen to the words of the Fairtrade Foundation chief executive, Michael Gidney, who said that now is not the time to reduce Britain’s aims and ambitions on the world stage, and that downgrading the role of the internationally respected, global aid powerhouse that is DFID is a backward step I conclude by calling on the Government to protect the aid budget and give priority to protecting programmes and achieving the best and greatest results in reducing poverty. This country and, indeed, the world are changing rapidly, and two decades’ worth of experience must not be thrown to the wayside. I urge the Government to retain the Select Committee to scrutinise the work and expenditure in that field."
0,ParlaMint-GB_2019-05-01-commons.u206,LAB,0.99853515625,2019-05-01,0.9818156957626343,"I congratulate the hon. Member for Totnes (Dr Wollaston), who represents an absolutely wonderful town where environment is at the core of the lives of many people. We are not here to debate the EU or Brexit, about which everyone will be very pleased, but I would say that, under any proposal from my party, we would import into the UK all the environmental regulations the EU has adopted, most of which are very good and progressive, although often they do not go far enough, and there would be a dynamic—"
0,ParlaMint-GB_2016-01-05-commons.u237,LAB,0.9658203125,2016-01-05,0.39969608187675476,"Happy new year, Mr Speaker. [Interruption.] And to you all Britain is taking great leadership in environmental policy in Europe and beyond. Will the Prime Minister use the Paris COP 21 conference to press the EU to ensure that imperatives on climate change from that conference are fully integrated into the US-EU free trade agreement, so that companies do not fine Governments when they pass legislation to meet stronger emissions targets?"
0,ParlaMint-GB_2019-09-25-commons.u530,LAB,-0.98779296875,2019-09-25,0.230856254696846,"I wish that the Chancellor of the Duchy of Lancaster had been able to join me over a Welsh cake last week in the kitchen at Llwyncelyn Farm, where I met farmers from the Rhondda and nearby. They do not have biblical concerns—they are not worried about plagues of locusts, or anything of that kind—but they have genuine concerns about what will happen to Welsh lamb, because 35% of it is sold in the European Union at the moment, and they fear that if there is a 48% tariff on it, they will end up having to burn carcases. They are also worried that there are not enough UK and national vets in the abattoirs and elsewhere to ensure that they can continue their business into the future. We are relying on migrants from elsewhere in the EU. Will the right hon. Gentleman come to the Rhondda to meet those farmers again, just to make sure that he really has everything in place to protect them if there is a no-deal Brexit?"
